,Number,Title,Description,Link,Season,Episode
98,"Season 108, Episode 6",Healthy on the Sunshine Coast,"After meeting in Brisbane, Australia, this couple decides to look outside of the city for a more sustainable lifestyle in the country. He's up for the challenge but says he wants to build ...",www.hgtv.com/shows/house-hunters-international/episodes/healthy-on-the-sunshine-coast,108,6
99,"Season 108, Episode 7",A New Job In Nuremberg,"A couple leaves the rolling hills of Tennessee for a bombshell job offer in Nuremberg, Germany. He wants a modern home with a short commute, but she prefers a home with character in the city ...",www.hgtv.com/shows/house-hunters-international/episodes/a-new-job-in-nuremberg,108,7
100,"Season 108, Episode 8",Ro Sham Bocas del Toro,"After an eye-opening accident, Wendy and Simon are following their dream of opening a business in the Caribbean. Their research leads them to Bocas del Toro, Panama, which offers great ...",www.hgtv.com/shows/house-hunters-international/episodes/ro-sham-bocas-del-toro,108,8
101,"Season 108, Episode 9",From the Big Apple to Berlin,"Scott, a New York pharmaceutical executive who rarely leaves the United States, has gotten a job promotion and a transfer to Berlin, Germany. Scott's visions sometimes exceed his wallet, so ...",www.hgtv.com/shows/house-hunters-international/episodes/from-the-big-apple-to-berlin,108,9
102,"Season 108, Episode 10",Oh No Okinawa,"A couple has the opportunity to move to Okinawa, Japan, for work and they know it's too good to pass up. However, their son is going into his senior year and he is reluctant to say goodbye ...",www.hgtv.com/shows/house-hunters-international/episodes/oh-no-okinawa,108,10
103,"Season 108, Episode 11",New Business in Verona,"Rick and Ron have fallen in love with Verona, Italy, and they're ready to buy a home and start a new business in the historic city. Rick is set on having an apartment with Italian charm in ...",www.hgtv.com/shows/house-hunters-international/episodes/new-business-in-verona,108,11
104,"Season 108, Episode 12",Castelli Fit For A Texan,"After the loss of a job in Texas, a couple and their two daughters are seizing the opportunity to reinvent themselves in Castelli Romani, Italy. He fears the family is holding on to ...",www.hgtv.com/shows/house-hunters-international/episodes/castelli-fit-for-a-texan,108,12
105,"Season 108, Episode 13",Casas in Cabo,"Gretchen and Rob want to buy a vacation home where they can eventually retire in Cabo San Lucas, Mexico. But Gretchen is a stickler for the budget while Rob wants them to live as comfortably ...",www.hgtv.com/shows/house-hunters-international/episodes/casas-in-cabo,108,13
106,"Season 117, Episode 1",House Fishing in St. Croix,Texans Colt and Brooke have lived in a travel trailer for two years to save for a new life and business together on gorgeous St. Croix. Their tight quarters have Brooke adding a ...,www.hgtv.com/shows/house-hunters-international/episodes/house-fishing-in-st-croix,117,1
107,"Season 117, Episode 2",Downsizing in Stockholm,"Annika and Mike have given up their five-bedroom home and steady jobs in order to set sail for Stockholm, Sweden, a family-friendly city where they want to raise their 3-year-old son. Family ...",www.hgtv.com/shows/house-hunters-international/episodes/downsizing-in-stockholm,117,2
108,"Season 117, Episode 3",From the Beach to Barcelona,"Andrea and Harris have lived in a small town in Costa Rica for the last three years, exposing their kids to more of the world, but now they're ready to make one last international move. The ...",www.hgtv.com/shows/house-hunters-international/episodes/from-the-beach-to-barcelona,117,3
109,"Season 117, Episode 4",Hitting the Slopes in Chile,"A couple leaves everything their kids have ever known for a new adventure in Chile. They don't see eye-to-eye on a home style or the budget, as he wants a rustic cabin and is worried about ...",www.hgtv.com/shows/house-hunters-international/episodes/hitting-the-slopes-in-chile,117,4
110,"Season 117, Episode 5",Rugby Down Under,"A couple that's bored of their day jobs in Amsterdam jumps at the chance to move when he gets the opportunity to play amateur rugby in Noosa, Australia. She wants a second bedroom to ...",www.hgtv.com/shows/house-hunters-international/episodes/rugby-down-under,117,5
111,"Season 117, Episode 6",Cuenca Decide,"A couple is moving to Cuenca, Ecuador, to experience a new culture as a family during their son's formative years. She wants a charming, old-style home in the heart of the city, but he ...",www.hgtv.com/shows/house-hunters-international/episodes/cuenca-decide,117,6
112,"Season 117, Episode 7",Living the sweet life in Puerta Vallarta,"A couple is leaving the corporate world to open a chocolate shop in Puerto Vallarta, Mexico. He thinks there is no need to blow the budget on an extravagant home, but she's driving a hard ...",www.hgtv.com/shows/house-hunters-international/episodes/living-the-sweet-life-in-puerta-vallarta,117,7
113,"Season 117, Episode 8",Going Big In Mexico,"A couple wants to escape their busy accounting firm for the beaches of Puerto Vallarta, Mexico. He doesn't mind breaking the bank for a place that has everything he wants, but she knows they ...",www.hgtv.com/shows/house-hunters-international/episodes/going-big-in-mexico,117,8
114,"Season 117, Episode 9",Finding Comforts in Bangalore,"Adventure-loving Nik couldn't pass up a job offer in Bangalore, India, and while Misty lived with him in Europe before, India will be a drastic difference. She's determinded to find Western ...",www.hgtv.com/shows/house-hunters-international/episodes/finding-comforts-in-bangalore,117,9
115,"Season 117, Episode 10","Warm Wishes in Playa Hermosa, Costa Rica","A couple that enjoys living in Fargo most of the year is done dealing with North Dakota's brutally cold winters. They want to purchase a snowbird sanctuary in Playa Hermosa, Costa Rica, but ...",www.hgtv.com/shows/house-hunters-international/episodes/warm-wishes-in-playa-hermosa-costa-rica,117,10
116,"Season 117, Episode 11",See You There in Villefranche-sur-Mer,"A couple that's been living long-distance wants to purchase a home in Villefranche-sur-Mer, France, where they can spend longer periods of time together. One wants something sensible and ...",www.hgtv.com/shows/house-hunters-international/episodes/see-you-there-in-villefranche-sur-mer,117,11
117,"Season 117, Episode 12",From the Jungle to the City,"After building a boutique hotel in the jungle of Costa Rica, a couple is ready to switch from luxury treetop living to settling down in Lyon, France. He can't step away from the drawing ...",www.hgtv.com/shows/house-hunters-international/episodes/from-the-jungle-to-the-city,117,12
118,"Season 117, Episode 13","Family Roots in Pacentro, Italy","Andrew and Tracy are looking for a home in Pacentro, Italy, a small village where Tracy's family traces its roots. They're concerned about unexpected details like tiny kitchens and living ...",www.hgtv.com/shows/house-hunters-international/episodes/family-roots-in-pacentro-italy,117,13
119,"Season 122, Episode 1",Giving Back in Beijing,"After 15 years as a lawyer and earning several accolades for his community work, a New Orleans man is ready to make a drastic change. He's fallen in love with the beauty of China, especially ...",www.hgtv.com/shows/house-hunters-international/episodes/giving-back-in-beijing,122,1
120,"Season 122, Episode 2",Family Matters Down Under,"After vacationing in Australia with her parents, a couple is inspired to move down under in hopes of finding a better work-life balance for them and their kids. He's going to Adelaide ahead ...",www.hgtv.com/shows/house-hunters-international/episodes/family-matters-down-under,122,2
121,"Season 122, Episode 3",A Fresh Start in Costa Rica,"Now that her children are grown, a newly single woman from Reno, Nevada, is ready for a fresh start and is leaving the 9-5 work grind behind. She's looking for her dream home in the beach ...",www.hgtv.com/shows/house-hunters-international/episodes/a-fresh-start-in-costa-rica,122,3
122,"Season 122, Episode 4",New Teaching Adventure in Guadalajara,"A New Jersey couple living and teaching in the Dominican Republic decides to move to Guadalajara, Mexico, for a job offer at The American School Foundation of Guadalajara. They hope to start ...",www.hgtv.com/shows/house-hunters-international/episodes/new-teaching-adventure-in-guadalajara,122,4
123,"Season 122, Episode 5",Dutch You See is Dutch You Get in Amsterdam,"The love of traveling has always been this couple's driving force, so they jumped at the opportunity to move to Amsterdam when the opportunity arose. As accountants in the cookie-cutter ...",www.hgtv.com/shows/house-hunters-international/episodes/dutch-you-see-is-dutch-you-get-in-amsterdam,122,5
124,"Season 122, Episode 6",Leapin' Lizards in France,A biologist is moving his entire family to the south of France for a fellowship opportunity. He wants to find a country house in biking distance of his job while his wife is more concerned ...,www.hgtv.com/shows/house-hunters-international/episodes/leapin-lizards-in-france,122,6
125,"Season 122, Episode 7",New Life in New Zealand,"A couple is selling their Tennessee business for a chance to live a simpler life with their two children in Palmerston North, New Zealand. She's taking a new job opportunity that comes with ...",www.hgtv.com/shows/house-hunters-international/episodes/new-life-in-new-zealand,122,7
126,"Season 122, Episode 8",Santo Domingo and Son,A Vermont mom moves her son to the Dominican Republic to learn about the other half of his family history. She soon discovers that what she envisioned for herself and what she can afford are ...,www.hgtv.com/shows/house-hunters-international/episodes/santo-domingo-and-son,122,8
127,"Season 122, Episode 9",Romanian Doctors in Ireland,"Doctors leave the comforts of Romania behind for a job opportunity and a chance to raise their daughter bilingual in Limerick, Ireland. She wants a cozy home with easy access to amenities ...",www.hgtv.com/shows/house-hunters-international/episodes/romanian-doctors-in-ireland,122,9
128,"Season 122, Episode 10",Feuding in Freiburg,"After years of long-distance dating, a couple struggles to find their first apartment together in Freiburg, Germany. She's targeting a walkable location in downtown Freiburg, but he's ...",www.hgtv.com/shows/house-hunters-international/episodes/feuding-in-freiburg,122,10
129,"Season 122, Episode 11",What's to Lose in Toulouse?,"A French-born teacher living in Utah is ready to return to France with his artist wife and young son. They both want a home with outdoor space in downtown Toulouse, but they find the house ...",www.hgtv.com/shows/house-hunters-international/episodes/whats-to-lose-in-toulouse,122,11
130,"Season 122, Episode 12",Back and Perth,"After working part-time between California and Australia, a veterinarian dermatologist is ready to purchase a home in Perth. He's looking for a place close to his job, but he wants to make ...",www.hgtv.com/shows/house-hunters-international/episodes/back-and-perth,122,12
131,"Season 122, Episode 13",Letting Go in Puerto Vallarta,"A couple ditches the San Francisco rat race to hunt for their forever home by the beach in Puerto Vallarta, Mexico. With very different ideas of what makes the perfect place, a booming real ...",www.hgtv.com/shows/house-hunters-international/episodes/letting-go-in-puerto-vallarta,122,13
132,"Season 124, Episode 1",Zurich Ever After,"A job opportunity has brought newlyweds to Switzerland, but the pair has different opinions on where in Zurich they want to reside. She wants a suburban space that feels like her native ...",www.hgtv.com/shows/house-hunters-international/episodes/zurich-ever-after,124,1
133,"Season 124, Episode 2","Falling in Love with Zagreb, Croatia","Samantha loves to travel and jumped at the chance to visit her friend Triston in Zagreb, Croatia. Samantha instantly fell in love with the city and how much culture and art it offers for a ...",www.hgtv.com/shows/house-hunters-international/episodes/falling-in-love-with-zagreb-croatia,124,2
134,"Season 124, Episode 3","Family First in Chiang Mai, Thailand","A wife decides to move with her two kids closer to her husband, who's working in Afghanistan, to strengthen the family bond. They meet in Chiang Mai, Thailand, to begin the house hunt, but ...",www.hgtv.com/shows/house-hunters-international/episodes/family-first-in-chiang-mai-thailand,124,3
135,"Season 124, Episode 4",Returning to Saipan,"While working at a resort as a lifeguard, Whitney fell in love with Saipan, one of the Northern Mariana Islands in the Pacific Ocean near the Philippines. Her time there was cut short ...",www.hgtv.com/shows/house-hunters-international/episodes/returning-to-saipan,124,4
136,"Season 124, Episode 5",Make Room for Family in Auckland,"Becca and Matt are leaving their demanding jobs in Chicago in order to spend more time with their toddler in Auckland, New Zealand. Matt is ready to blow the budget and settle on a big and ...",www.hgtv.com/shows/house-hunters-international/episodes/make-room-for-family-in-auckland,124,5
137,"Season 124, Episode 6",Dutch Dreaming,"A couple that married in Amsterdam looks at a permanent move to the Netherlands. One feels he'll adjust more easily if they find an apartment with lots of guest and work space. However, the ...",www.hgtv.com/shows/house-hunters-international/episodes/dutch-dreaming,124,6
138,"Season 124, Episode 7","Closer to the Equator in Huatulco, Mexico","A couple that's ready to relax in the warmth and sunshine ditches Ontario blizzards for the beach town of Huatulco, Mexico. While she's looking for a low-maintenance condo close to the ...",www.hgtv.com/shows/house-hunters-international/episodes/closer-to-the-equator-in-huatulco-mexico,124,7
139,"Season 124, Episode 8","Following the Signs to Ambergris Caye, Belize","A couple decides to leave Brooklyn winters behind for a new life on Ambergris Caye, Belize. They both want a view of the Caribbean with privacy, but one is picky about style and furniture ...",www.hgtv.com/shows/house-hunters-international/episodes/following-the-signs-to-ambergris-caye-belize,124,8
140,"Season 124, Episode 9",The Sea in Sitges,"After a two-week cruise through the Mediterranean, Gene and Shawn were inspired to take a big leap and move to Sitges, Spain. Accountant Shawn can work remotely, while Gene is leaving behind ...",www.hgtv.com/shows/house-hunters-international/episodes/the-sea-in-sitges,124,9
141,"Season 124, Episode 10",Tension in Taipei,"A couple moves with their three children from California to Taipei, Taiwan, to get back to their ancestral roots. However, with no current income, their budget may stifle their pricey ...",www.hgtv.com/shows/house-hunters-international/episodes/tension-in-taipei,124,10
142,"Season 124, Episode 11","Following the Beat to Valencia, Spain","Newlyweds are moving to Valencia, Spain, just months after tying the knot so he can finish his master's in music. They're excited to experience the culture, but because neither of them have ...",www.hgtv.com/shows/house-hunters-international/episodes/following-the-beat-to-valencia-spain,124,11
143,"Season 124, Episode 12",Looking for Dutch Charm in Amsterdam,A couple that's dreamed of living abroad and exposing their children to a new culture gets the opportunity with a job offer in Amsterdam. She wants to find a place that helps the family feel ...,www.hgtv.com/shows/house-hunters-international/episodes/looking-for-dutch-charm-in-amsterdam,124,12
144,"Season 124, Episode 13",Easy Ride to Chiang Mai,"After an eye-opening motorcycle trip to Thailand, a man decides to sell his home and business and push reset on his life with a move to Chiang Mai. A friend with a vast knowledge of the city ...",www.hgtv.com/shows/house-hunters-international/episodes/easy-ride-to-chiang-mai,124,13
145,"Season 128, Episode 1",Vacation Home on the Map,"A Canadian family wants to escape the cold and enjoy the warm weather and activities in Cerritos Beach, Mexico, an up-and-coming town still under construction. Moving to a town that is ...",www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-on-the-map,128,1
146,"Season 128, Episode 2",A London Loft for Lovebirds,"Canadians Mac and Giulia are embarking upon a new city, new jobs, a new relationship and a new home. They're excited to find a loft in East London, but the search turns tricky when they ...",www.hgtv.com/shows/house-hunters-international/episodes/a-london-loft-for-lovebirds,128,2
147,"Season 128, Episode 3",At Home in Singapore,"A Brooklyn couple with a newborn daughter decides to move to Singapore for his job opportunity. But while she wants all the amenities and a great neighborhood like they have in Brooklyn, he ...",www.hgtv.com/shows/house-hunters-international/episodes/at-home-in-singapore,128,3
148,"Season 128, Episode 4","A Family Affair in Umea, Sweden","When Tiffany landed a teaching position in Umea, Sweden, it wasn't just her husband, Dave, and the kids who were packing their bags. Tiffany's twin sister, Vanessa, is also on board for the ...",www.hgtv.com/shows/house-hunters-international/episodes/a-family-affair-in-umea-sweden,128,4
149,"Season 128, Episode 5",To San Jose in Search of Nature,"Looking to trade skyscrapers for a soft jungle breeze, a pair of world-travelling teachers moves their family from busy Shanghai to calming San Jose, Costa Rica. Led by best intentions, Pat ...",www.hgtv.com/shows/house-hunters-international/episodes/to-san-jose-in-search-of-nature,128,5
150,"Season 128, Episode 6","Love, Work, Babies and Bikes","A couple puts her law career on hold to support his military promotion in Hainaut, Belgium. Between their dog, his motorcycle and her desire to start a family, however, the young couple will ...",www.hgtv.com/shows/house-hunters-international/episodes/love-work-babies-and-bikes,128,6
151,"Season 128, Episode 7","Leaving Chilly Northern California for Cabo San Lucas, Mexico",A California couple decides to leave their large home in Silicon Valley for an even bigger home with ocean views in sunny Cabo San Lucas. But their expectations and their price point don't ...,www.hgtv.com/shows/house-hunters-international/episodes/leaving-chilly-northern-california-for-cabo-san-lucas-mexico,128,7
152,"Season 128, Episode 8","Puerto Penasco, You've Changed","David grew up visiting Puerto Penasco, Mexico, and now he wants to share the quaint fishing village he remembers with his wife, Amanda, and their kids. But the quiet town he once knew has ...",www.hgtv.com/shows/house-hunters-international/episodes/puerto-penasco-youve-changed,128,8
153,"Season 128, Episode 9","The King of Queens in London, England","Jordan is getting the chance of a lifetime to study playwriting at a graduate school in London, and he's bringing his dog as well as his drag alter ego, Wanda Cookie, along for the adventure ...",www.hgtv.com/shows/house-hunters-international/episodes/the-king-of-queens-in-london-england,128,9
154,"Season 128, Episode 10","Puns of Fun in Phnom Penh, Cambodia","Speech therapist Joanne is moving from Los Angeles to Phnom Penh, Cambodia, to work, and she has a friend with a keen eye and local experience helping her look for an apartment. Joanne wants ...",www.hgtv.com/shows/house-hunters-international/episodes/puns-of-fun-in-phnom-penh-cambodia,128,10
155,"Season 128, Episode 11",Beauty and Tulips in Amsterdam,"Kim, a beauty industry leader living in New York City, and Hein, a fourth-generation Dutch tulip farmer, are taking their long-distance relationship to the next level by moving in together ...",www.hgtv.com/shows/house-hunters-international/episodes/beauty-and-tulips-in-amsterdam,128,11
156,"Season 128, Episode 12",A Devil of a Hunt in Tasmania,"After eight years of living in the heat of Darwin, Australia, Charlie wants to be in a cooler climate and insists his partner, Ryan, accept a job transfer to chilly Hobart, Tasmania. They're ...",www.hgtv.com/shows/house-hunters-international/episodes/a-devil-of-a-hunt-in-tasmania,128,12
157,"Season 128, Episode 13",Honeymooners in Stockholm,"When David found out he couldn't bring Jessie to Stockholm unless they were married, he bought her a candy ring and hoped for the best. Now they're off to Sweden as newlyweds, with just one ...",www.hgtv.com/shows/house-hunters-international/episodes/honeymooners-in-stockholm,128,13
158,"Season 129, Episode 1",Alone in Landshut,"An unexpected job offer in Landshut, Germany, allows newlyweds to achieve their dream of moving to Europe. He's excited about the new opportunity but she loves her job and friends in North ...",www.hgtv.com/shows/house-hunters-international/episodes/alone-in-landshut,129,1
159,"Season 129, Episode 2",Paris By the Books,"Cristina is leaving Boston to complete her degree in international law, and her mom is tagging along to help her find a place and settle into a new life in Paris. Cristina's priorities ...",www.hgtv.com/shows/house-hunters-international/episodes/paris-by-the-books,129,2
160,"Season 129, Episode 3","Teach Me, Italy","Chris and Gennieve are teachers and travel junkies always looking for the next adventure. Gennieve fell in love with Italy in college, and they've both been offered positions there, so ...",www.hgtv.com/shows/house-hunters-international/episodes/teach-me-italy,129,3
161,"Season 129, Episode 4",Girls vs. Boys in Bolivia,"A family of four moves to Bolivia to follow a job opportunity, but the high altitude city of La Paz is a big change from what they are used to, leaving them divided on where to look for a ...",www.hgtv.com/shows/house-hunters-international/episodes/girls-vs-boys-in-bolivia,129,4
162,"Season 129, Episode 5","Sing It Out in Karlsruhe, Germany","After years of being in a long-distance relationship, professional opera singers Nick and Jen have finally found a city they can both work in. The birth of their daughter has shifted their ...",www.hgtv.com/shows/house-hunters-international/episodes/sing-it-out-in-karlsruhe-germany,129,5
163,"Season 129, Episode 6",London by Line Item,"A Philadelphia professional yearns to shake up her life with a new job opportunity in London, but her hesitant boyfriend has never lived outside of America's East Coast and is anxious about ...",www.hgtv.com/shows/house-hunters-international/episodes/london-by-line-item,129,6
164,"Season 129, Episode 7",Newlywed Adventure in Amsterdam,A job in Amsterdam is giving Dallas newlyweds Jamey and Lucas the opportunity to live in Europe before settling down and having kids. Jamey has never lived far from home and family before ...,www.hgtv.com/shows/house-hunters-international/episodes/newlywed-adventure-in-amsterdam,129,7
165,"Season 129, Episode 8",Too Cute in Tulum,"A spontaneous, fun-loving couple searches for warmer climates and a healthier lifestyle in Tulum, Mexico, after selling their family home. She wants to make sure the home they choose will ...",www.hgtv.com/shows/house-hunters-international/episodes/too-cute-in-tulum,129,8
166,"Season 129, Episode 9",Life Imitates Art in Lisbon,"Debbie has been a fixture in the New York City art world for years, but with her kids grown and her job winding down, she's ready to reinvent herself in Lisbon. She wants a fresh start and a ...",www.hgtv.com/shows/house-hunters-international/episodes/life-imitates-art-in-lisbon,129,9
167,"Season 129, Episode 10",A Taste for Travel in Parma,"Twenty years after a backpacking trip to Italy inspired them to move there someday, Mike and Wendy are moving their family of eight to one of Italy's gastronomy hubs, Parma. Mike and Wendy ...",www.hgtv.com/shows/house-hunters-international/episodes/a-taste-for-travel-in-parma,129,10
168,"Season 129, Episode 11",From Spain to Da Nang,"A teacher and a writer, Casey and Casie are free spirits eager to work in different locations around the world. After some research, they've decided to move from Granada, Spain, to Da Nang ...",www.hgtv.com/shows/house-hunters-international/episodes/from-spain-to-da-nang,129,11
169,"Season 129, Episode 12",Following a Restless Spirit to Vietnam,"With the winds of a restless spirit at her back, Paige convinced her French-born partner, Pierre, to sell his bar in Seville, Spain, buy motorbikes and explore the Vietnamese countryside ...",www.hgtv.com/shows/house-hunters-international/episodes/following-a-restless-spirit-to-vietnam,129,12
170,"Season 129, Episode 13",Chasing Dreams in Costa Rica,"A Seattle couple decides to break free from the corporate grind and follow a job opportunity in Costa Rica. But while she has always dreamed of making a home in Central America, he is a ...",www.hgtv.com/shows/house-hunters-international/episodes/chasing-dreams-in-costa-rica,129,13
171,"Season 145, Episode 1",Family Move to Groningen,"A pastor, professor and their teen daughter are moving, sight unseen, from Kansas City to Groningen, Netherlands. They dream of an authentic experience, but their disagreements may place a ...",www.hgtv.com/shows/house-hunters-international/episodes/family-move-to-groningen,145,1
172,"Season 145, Episode 2","Worlds Collide in Accra, Ghana","A newly engaged couple moves to Accra, Ghana, to live together for the first time. He's lived in Africa before and is open to anything. However, she is much more particular about their ...",www.hgtv.com/shows/house-hunters-international/episodes/worlds-collide-in-accra-ghana,145,2
173,"Season 145, Episode 3",Going for Broke in Sydney,"A job opportunity for Dad brings a young family to Sydney, Australia. But after uprooting her life in chilly Minnesota, Mom wants to go all in on beach life at any cost.",www.hgtv.com/shows/house-hunters-international/episodes/going-for-broke-in-sydney,145,3
174,"Season 145, Episode 4","From Vancouver to the Vineyards of Epernay, France","A wine connoisseur moves with her family to Epernay, France, in the heart of the Champagne region. They consider the options between the sprawling vineyard countryside and the bustling town ...",www.hgtv.com/shows/house-hunters-international/episodes/from-vancouver-to-the-vineyards-of-epernay-france,145,4
175,"Season 145, Episode 5",Rest and Relaxation in Mexico,"After a long recovery from a motorcycle accident sparks a new outlook on life, a young couple starts over on the beaches of Mexico. They came to reset and relax, but the house hunt marks the ...",www.hgtv.com/shows/house-hunters-international/episodes/rest-and-relaxation-in-mexico,145,5
176,"Season 145, Episode 6","Outer Space in La Serena, Chile","When the family breadwinner is an aerospace engineer, there's no better place to move than the research town of La Serena, Chile. However, the kids feel like they may as well move to outer ...",www.hgtv.com/shows/house-hunters-international/episodes/outer-space-in-la-serena-chile,145,6
177,"Season 145, Episode 7","College Besties Reunite in Manta, Ecuador","A Spanish teacher, who loves all things Latin, seeks a vacation home in Manta, Ecuador. It's too much for a teacher's salary, so her beach-loving family agrees to pool resources to make it ...",www.hgtv.com/shows/house-hunters-international/episodes/college-besties-reunite-in-manta-ecuador,145,7
178,"Season 145, Episode 8",Luxury vs. Economy in Vietnam,"Born and raised in Reading, Pennsylvania, two half-brothers decide on a whim to move to Vietnam. One is looking for luxury at any cost, while the other has a more conservative point of view ...",www.hgtv.com/shows/house-hunters-international/episodes/luxury-vs-economy-in-vietnam,145,8
179,"Season 145, Episode 9",Swapping Cities Inside Vietnam,"A young couple moves from Hanoi to Ho Chi Minh City, Vietnam, ready to take the next step in their relationship. They're all-in on the move, but leaving their comfort zone and choosing where ...",www.hgtv.com/shows/house-hunters-international/episodes/swapping-cities-inside-vietnam,145,9
180,"Season 145, Episode 10",Restless Roots in Melbourne,"An adventure-hungry world traveler and a career-focused family man have agreed to finally slow down and return to Melbourne, Australia. He's thrilled to put down some roots after years of ...",www.hgtv.com/shows/house-hunters-international/episodes/restless-roots-in-melbourne,145,10
181,"Season 145, Episode 11",Finding a Cure in London,An American Ph.D. student and cancer survivor moves to England to work on a cure at a leading university. She's hoping to find an adult space on a student budget but finding an affordable ...,www.hgtv.com/shows/house-hunters-international/episodes/finding-a-cure-in-london,145,11
182,"Season 145, Episode 12","Adulting in Aberdeen, Scotland","Recent college grads search for their first place together in Aberdeen, Scotland. They're not sure where to start, but with their eyes on the city center and minimal budget, their ...",www.hgtv.com/shows/house-hunters-international/episodes/adulting-in-aberdeen-scotland,145,12
183,"Season 145, Episode 13",Attempting Adulting in Amsterdam,"Months after their daughter is born, first-time parents get the chance to move to their dream city, Amsterdam. As the difficult realities of parenting in a foreign city set in, they start to ...",www.hgtv.com/shows/house-hunters-international/episodes/attempting-adulting-in-amsterdam,145,13
184,"Season 150, Episode 1",West Coast is Best Coast in Puerto Rico,"A couple that met after a hurricane in Puerto Rico looks to buy a home together on the island's west coast. While he hopes to get a fishing charter company off the ground, she works to ...",www.hgtv.com/shows/house-hunters-international/episodes/west-coast-is-best-coast-in-puerto-rico,150,1
185,"Season 150, Episode 2","Location vs Loved Ones in Buceri­as, Mexico","After vacationing and falling in love with Bucerias, Mexico, a couple decides to search for a home. She wants a house with enough space for family to visit and stay, but he wants a condo ...",www.hgtv.com/shows/house-hunters-international/episodes/location-vs-loved-ones-in-bucerias-mexico,150,2
186,"Season 150, Episode 3",My Three Daughters in Merida,"After backpacking around the world with her three daughters, a single mother decides to settle down in Merida, Mexico. She's looking for a spacious home with character, but her daughters ...",www.hgtv.com/shows/house-hunters-international/episodes/my-three-daughters-in-merida,150,3
187,"Season 150, Episode 4",Reinventing Mexico in SoRo,"A couple looks to simplify their lives and search for a home in Rosarito, Mexico. They're looking for a place with ocean views but he wants a single-family house while she wants a luxury ...",www.hgtv.com/shows/house-hunters-international/episodes/reinventing-mexico-in-soro,150,4
188,"Season 150, Episode 5",Living Together for the First Time in La Paz,"A young couple decides to live together for the first time and move abroad to La Paz, Bolivia. He's budget-minded and wants to find a place they can easily afford while she isn't afraid to ...",www.hgtv.com/shows/house-hunters-international/episodes/living-together-for-the-first-time-in-la-paz,150,5
189,"Season 150, Episode 6",A Return to Nature in Scotland,"After living in close quarters in Amsterdam for several years, an adventurous expat family is hoping for more space in Scotland. Her job takes her into town, however, where the housing is ...",www.hgtv.com/shows/house-hunters-international/episodes/a-return-to-nature-in-scotland,150,6
190,"Season 150, Episode 7","City Vibes vs. Mountain Views in Trento, Italy","An American man fell in love with Trento, Italy, and his wife jumps at the chance to move to Europe. He wants to live near the mountains to be closer to climbing, while she wants to be in ...",www.hgtv.com/shows/house-hunters-international/episodes/city-vibes-vs-mountain-views-in-trento-italy,150,7
191,"Season 150, Episode 8",Heated in Ho Chi Minh,"A globetrotting couple is ready to settle down with their two young daughters in Ho Chi Minh City, Vietnam. He's convinced a home close to work in the heart of Ho Chi Minh City will give ...",www.hgtv.com/shows/house-hunters-international/episodes/heated-in-ho-chi-minh,150,8
192,"Season 150, Episode 9",Luxury vs. Frugality in Hoi An,"A travel-savvy couple moves to Hoi An, Vietnam, for opportunity and adventure. She hopes to start a new business and wants to be budget-conscious, but he wants to capitalize on the ...",www.hgtv.com/shows/house-hunters-international/episodes/luxury-vs-frugality-in-hoi-an,150,9
193,"Season 150, Episode 10",Engineering a Life Without Carpet in Auckland,"A single man relocates to Auckland, New Zealand, for a job opportunity and asks his girlfriend to come along for the adventure. He wants a home near the city, but finding a place they can ...",www.hgtv.com/shows/house-hunters-international/episodes/engineering-a-life-without-carpet-in-auckland,150,10
194,"Season 150, Episode 11","Waking from Hibernation in Sosua, Dominican Republic","A family is tired of cold Toronto winters and long work hours and decides to move to Sosua, Dominican Republic. He wants a single-family house with a pool but she wants a beachfront condo ...",www.hgtv.com/shows/house-hunters-international/episodes/waking-from-hibernation-in-sosua-dominican-republic,150,11
195,"Season 150, Episode 12",French Dreams in Salies-de-Bearn,"After unexpected tragedy strikes, a romance writer and her husband decide to start over in Salies-de-Bearn, France. The town is the perfect inspiration for her writing, but with only one ...",www.hgtv.com/shows/house-hunters-international/episodes/french-dreams-in-salies-de-bearn,150,12
196,"Season 150, Episode 13",The Newlywed Getaway in Guardia,"After three years of dating long distance, a couple marries and searches for a vacation home in Guardia Sanframondi, Italy. One wants a large house for visting family while the other wants ...",www.hgtv.com/shows/house-hunters-international/episodes/the-newlywed-getaway-in-guardia,150,13
197,"Season 152, Episode 1",New Life in County Mayo,"An empty nester that fell in love with Ireland early in life decides to return there for good. She has a plan to start a bed and breakfast, but she quickly realizes that doing so in the ...",www.hgtv.com/shows/house-hunters-international/episodes/new-life-in-county-mayo,152,1
198,"Season 152, Episode 2",Juxtaposition in Johannesburg,"After living in a rural town for over a year, a young couple is ready to get back to city life in Johannesburg, South Africa. They hope to find a roomy place that fits their budget and still ...",www.hgtv.com/shows/house-hunters-international/episodes/juxtaposition-in-johannesburg,152,2
199,"Season 152, Episode 3",Heritage and Handiwork in Sweden,An American man wants to trace his Swedish ancestry and a mysterious family heirloom leads him to Vasteras. While his fiancee is willing to give up everything familiar in Colorado to follow ...,www.hgtv.com/shows/house-hunters-international/episodes/heritage-and-handiwork-in-sweden,152,3
