,index,Number,Title,Description,Link
173,15,"Season 14, Episode 10",Artist's Retreat in a Small Beach Town in Fiji,"Sachiko runs her dance troupe from her home in Suva, Fiji, the nation's capitol. While she loves being a choreographer and dancer, she finds living and working in the same space too much. She yearns to have a peaceful space where she can allow her creative juices to flow. So, she wants to buy a vacation home in a small beach community called Savusavu. While she plans on keeping her Suva home to train her dancers, she wants the Savusavu home to be a holiday home for family gatherings and a creative compound for artists and dancers. She's looking for a very specific type of home. It needs to have enough space to dance and enough bedrooms for her family to stay. Even though she has saved money to buy her first home, her parents are also helping her out. So, she has to stick to her $500,000 budget. Nervous about spending so much money, she's bringing her best friend Pat along to help her house hunt. To help her find a place to suit her very specific needs is Will Roadhouse.",https://www.hgtv.com/shows/house-hunters-international/episodes/sachiko-wants-to-get-away-from-her-busy-life-as-a-choreographer-by-buying-a-vacation-home-in-a-small-beach-town-in-fiji
174,16,"Season 14, Episode 10",Artist's Retreat in a Small Beach Town in Fiji,"Sachiko runs her dance troupe from her home in Suva, Fiji, the nation's capitol. While she loves being a choreographer and dancer, she finds living and working in the same space too much. She yearns to have a peaceful space where she can allow her creative juices to flow. So, she wants to buy a vacation home in a small beach community called Savusavu. While she plans on keeping her Suva home to train her dancers, she wants the Savusavu home to be a holiday home for family gatherings and a creative compound for artists and dancers. She's looking for a very specific type of home. It needs to have enough space to dance and enough bedrooms for her family to stay. Even though she has saved money to buy her first home, her parents are also helping her out. So, she has to stick to her $500,000 budget. Nervous about spending so much money, she's bringing her best friend Pat along to help her house hunt. To help her find a place to suit her very specific needs is Will Roadhouse.",https://www.hgtv.com/shows/house-hunters-international/episodes/sachiko-wants-to-get-away-from-her-busy-life-as-a-choreographer-by-buying-a-vacation-home-in-a-small-beach-town-in-fiji
175,17,"Season 14, Episode 11",Condo on the Caribbean Island of St. Maarten,"Dia is from Oklahoma City, Oklahoma but lives onboard a cruise ship for most of the year, working as a singer. Her boyfriend Garo is a sound engineer on the same ship. Their favorite cruises are through the Caribbean, and they've gotten to the point where they want a place of their own in the islands so they can spend even more time there. They've chosen St. Maarten, mostly because of its fun atmosphere. Their budget for a getaway condo is $300,000 and the main thing they are looking for is no renovations. That's because back home in Oklahoma, Dia has been renovating her home for several years and it's the last thing she wants to be doing on vacation too. The first place real estate agent Dwain Carbon shows them is listed for $290,000. It's a one bedroom, one bath condo with a fabulous ocean view. But the development is popular with retirees, and Dia and Garo were hoping for a more youthful vibe. The second place is brand new construction, in fact the units are not even completed. This condo, too, has one bedroom and one bath, but no view. However, the condo complex has a fun, inviting, modern vibe. It's listed for $295,000. The third place is listed for $295,000, and is much larger than the other two. It has three bedrooms and two and a half baths, which would give them plenty of room for company. But the location of the complex is not ideal, as it would mean a significant drive into town or to the beach. Which condo will Dia and Garo choose as their island getaway? Find out, when House Hunters International sails to the Caribbean island of St. Maarten.",https://www.hgtv.com/shows/house-hunters-international/episodes/cruise-ship-employees-want-a-condo-on-dry-land-and-have-chosen-the-caribbean-island-of-st-maarten
176,18,"Season 14, Episode 12",Busy Working Parents Search for Costa Rican Retreat,"Between the demands of work and raising two kids, Garth and Lori barely get to see each other. To get a little quality ''together'' time, not to mention a break from the harsh Minnesota winters, they want to buy a vacation home along Costa Rica's Pacific Coast. With a budget of $550,000, will they find a gorgeous getaway that can double as a rental property when they're back home?",https://www.hgtv.com/shows/house-hunters-international/episodes/busy-working-parents-search-for-costa-rican-retreat
177,19,"Season 14, Episode 13","Irish Expat Wants To Buy a Home In Sofia, Bulgaria","Chris left behind Ireland to seek his fortune in Sofia, Bulgaria, where he opened a bagel shop. Now that his business is up and running and the real estate market is affordable, he wants to buy a home. He's considering the popular option of buying a home mid construction to save money. For extra advice, he's bringing along his friend Sean, who grew up in the construction business. With British expat and realtor Mike De Coster showing him around, Chris hopes to finally buy a place so he can call Bulgaria his home.",https://www.hgtv.com/shows/house-hunters-international/episodes/chris-is-an-irish-expat-who-wants-to-buy-a-home-in-sofia-bulgaria
178,20,"Season 15, Episode 1",Hip Edinburgh Flat,"A man follows a job opportunity to Edinburgh, Scotland and asks a friend to help him find the perfect bachelor pad.",https://www.hgtv.com/shows/house-hunters-international/episodes/hip-edinburgh-flat
179,21,"Season 15, Episode 2",Virgin Island Paradise,"Doug and Lindy Freeman had the dream of moving to St. Croix for many years. They were making a decent living back home in California, but are quick to disclose that they were not rewarding themselves for the hard work they were doing. They saved everything they could and cut back as much as possible. Finally, with saving and living ""way below our means,"" they were able to move to St. Croix. They sold everything they owned and are now renting a home on the island. The Freemans now want to buy a single family home with a guest cottage or apartment so that their friends and family have a place to stay when they visit. They also want this guest space ready for an expansion as the kids get older and need more room to grow. They hope realtor Ness Fennessey can deliver. Only problem is, Doug wants to pay cash and even though the family has saved up, the Freeman's still don't have enough in the budget for everything they want in their island paradise.",https://www.hgtv.com/shows/house-hunters-international/episodes/virgin-island-paradise
180,22,"Season 15, Episode 3",A House For Five In Switzerland,"Antony and Stephanie met in 1989 in London through a mutual friend and were friends for eight years before they started dating.  They were then married and were living together in London in a house Stephanie had bought when she was 21.  Antony, a banker, has been offered a job in Switzerland and he and Stephanie have decided to take a step out of their comfort zone and move the family to Zurich.  They believe that, along with a better job for Antony, it was a chance at better quality of life for them and their three daughters, Natalia, Katarina and Alexandra.  Natalia, in particular, will benefit from the move.  She is a special needs child and there is a school near Zurich that is known for the quality and care in which they help these kinds of students.  They hope that all of these factors will make the transition and giant move they are making worth it.  And they hope they can find the right home to suit their needs.  Antony would like to buy something modern and sleek, while Stephanie would like an older, more traditional home.  These issues, along with the culture change from  England to Switzerland, will make this move challenging and exiting for their realtor Birgit Schonhofen.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-house-for-five-in-switzerland
181,23,"Season 15, Episode 4",*Hidden Harbor Vacation Homes,"Andrea and Randall love the outdoor life in Salt Lake City, Utah: hiking, skiing, snow shoeing, etc.  But for fun in Puerto Escondido, Mexico, the situation changes a bit: exploring, snorkeling, swimming and relaxing!  On a previous trip to Puerto, the couple purchased an empty lot with plans to build their dream home from scratch, but so much for best laid plans.  Now it seems best to save the hassle of building by buying an existing property.  They've hired Brett and his mom Nancye with Puerto Real Estate to help them make a big decision: buy the perfect getaway overlooking the Pacific Ocean or build their own?",https://www.hgtv.com/shows/house-hunters-international/episodes/hidden-harbor-vacation-homes
182,24,"Season 15, Episode 5",A Second Home in Slovenia,"Emma and Tim live busy lives in Richmond, UK.  Their decision to buy a property in Slovenia was a huge step for them. Their friends think they have gone MAD!  Emma and Tim say they look normal on the outside, but on the inside they're full of spontaneity and adventure.  They want to buy and perhaps renovate a second home with hopes of spending more time in the country and less time in the hustle and bustle of the city.  Northern Slovenia is definitely one of Europe's undiscovered investment destinations and the Sheldrick's are excited to start hunting.  Jade van Baaren was the first English speaking realtor to set up shop around northern Slovenia and the Sheldricks couldn't be in better hands.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-second-home-in-slovenia
183,25,"Season 15, Episode 6",Best Friends Invest in Panama,"Eric Theise and Vladimir Efros have been best friends for a long time.  Eric has been living and working in NYC for almost his whole life, while Vladimir moved to the states in 1999.  Vladimir introduced Eric to Panama four years ago and they have been visiting there quite frequently ever since.  Now Vald and Eric want to buy property in Casco Antiguo, Panama.  Eric wants a ''home,'' while Vladimir is looking for an investment that has potential to increase in value.  They've hired realtor Patrizia Penzon to find a place that suits both of their distinct agendas.",https://www.hgtv.com/shows/house-hunters-international/episodes/best-friends-invest-in-panama2
184,0,"Season 15, Episode 7",Michiganians In Paris,"Chuck Nemecek's company has moved him to Paris, France. He's already there and hard at work. His wife, Jennifer, was excited at the idea of moving the family abroad, but thought things would move a bit slower. Turns out they were able to sell their house in the states only a week after they put it on the market and soon they'll be homeless. There's another problem: Chuck hasn't been able to find his family a new home in Paris fast enough. Now Jennifer and the kids are going to join Chuck in France and all four of them will live in a one bedroom hotel room until they can find a place that suits their needs -- and budget. They are looking for a 3 bedroom property in the northern suburbs of Paris. They would like to be close to the trains and a decent commute both to Chuck's work and the school they have chosen for their son. Jennifer has given up her job, they have given away their two dogs and they sold their beautiful home they were so fond of. They only hope that the property their realtor finds will make all of this change worthwhile.",https://www.hgtv.com/shows/house-hunters-international/episodes/michiganians-in-paris
185,1,"Season 15, Episode 8",Updated Lofts in Historic Berlin,"Jonathan relocated to Berlin for professional reasons.  While hanging with friends one night, he met Katja. That was about three years ago and now Katja is pregnant with their first child. The couple talked about buying property for a while, but the pregnancy helped jump start the house hunt. They both agree they are not meant for the suburbs; and when it comes to lifestyle and career, the more centrally located the better. Many pre-war structures in the heart of Berlin are now seeing development companies move in and give them complete makeovers. Realtor Tim Bogen works for Berlin Capital Investments and is ready to show them the loft of their dreams.",https://www.hgtv.com/shows/house-hunters-international/episodes/updated-lofts-in-historic-berlin
186,2,"Season 15, Episode 9",Holiday Homes in Mediterranean Turkey,"Happily married in Northern Ireland, Lydia and Roger didn't want to follow the conventional path of purchasing a holiday home in just any old European locale. Lydia was in a terrible accident a couple years ago and spent one year in a wheelchair. The road to recovery inspired the couple to live life with a new purpose and sense of adventure. They became fascinated with Turkish culture and wanted to immerse themselves in it. After a few visits to Didim, Turkey they decided it is the right place to purchase a holiday home. They've hired real estate professional James Dearsley to help them find a wise investment that is both a great getaway for the whole family and a rental unit while the couple is back home.",https://www.hgtv.com/shows/house-hunters-international/episodes/holiday-homes-in-mediterranean-turkey
187,3,"Season 15, Episode 10",Renovated Flats in Berlin's Trendy Boroughs,"With a career in the art scene taking off and money in savings to invest, Margherita is ready to take the plunge into Berlin's real estate market. She's saying goodbye to her family in small town Italy and hello to the hip boroughs of central Berlin, Germany. This will be her first time buying property and she'll need all the help she can get. Enter Davina Raselli with Berlin Capital Investments. Davina knows just the types of neighborhoods and properties that young urbanites like Margherita love. It won't be long before Margherita has a new flat to compliment her new job.",https://www.hgtv.com/shows/house-hunters-international/episodes/renovated-flats-in-berlins-trendy-boroughs
188,4,"Season 15, Episode 11",Private Villas in a Turkish Beach Town,"The London based Ballard family of five has friends who own property in the Mediterranean beach town of Oludeniz,Turkey. Once, when the whole gang stayed there on holiday, they loved the place so much that mom and dad ended up buying an apartment for future vacations. So far, the weather has always been fabulous and the cost of living, mixed with a good exchange rate, has been a big plus. Jump to present day and the Ballard bunch is selling that first property with plans to upgrade to a private villa. Their realtor Denise Tangal has helped international buyers for years and will make sure the Ballards don't head back to London empty handed.",https://www.hgtv.com/shows/house-hunters-international/episodes/private-villas-in-a-turkish-beach-town
189,5,"Season 15, Episode 12","A Young Family Heads Home to Carrasco, Uruguay","Carmen and Alberto are looking forward to returning to their home town roots of Carrasco, Uruguay. They also feel their baby daughter, Trini, is missing out on the opportunity to grow up with her extended family members while living in Madison, New Jersey. But even though they are agreed on making the move and where they should live, the couple's opinions differ on style and layout. Carmen loves modern finishes and doesn't mind two-story homes, whereas Alberto is hoping for a more traditional ranch style property. Sandra Whitehead with Meikle Real Estate has been brought in to settle the score and put the lid on this family homecoming.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-young-family-heads-home-to-carrasco-uruguay
190,6,"Season 15, Episode 13",Hacienda Style in Historic Merida,"Three years working in Japan and living in a boxed-sized apartment has Rob and Erich burned out. But all for not. They've saved every penny and are now back at Erich's mom's house in Toronto, Canada plotting their next move. Wanting a slower pace of life in a tropical locale, they've decided to start anew by buying a renovated home in historic Merida, Mexico. But their first attempt at buying a home there imploded and that disaster, and lost down payment, could have been avoided if they hired a professional realtor. Enter their new licenced agent Eric Partney. With years of experience, aka ""Agent Eric"" will make sure the house hunt is done right this time around. It won't be long before Erich and Rob are out of mom's place and living it up in the Yucatan.",https://www.hgtv.com/shows/house-hunters-international/episodes/hacienda-style-in-historic-merida
191,7,"Season 16, Episode 1",Homes of Suburban Cape Town,"After 11 years in London, Lasith and Kathryn want a change of scene. They envisage a better work to life balance and want to raise their daughter in a more family friendly neighborhood. Cape Town quickly became the obvious choice. Kathryn had longed to return to her home town and Lasith has always enjoyed holidays there. Cape Town is a destination city known for its beaches, mountains, warm weather and scenic wine country. They've asked realtor John Weston of Rawson Real Estate to come up with some properties in the Plumstead area of Cape Town. This neighborhood has good access to the rest of the city and boasts a suburban atmosphere ideally suited to raise a family and generate a good return on investment.",https://www.hgtv.com/shows/house-hunters-international/episodes/homes-of-suburban-cape-town
192,8,"Season 16, Episode 1",Homes of Suburban Cape Town,"After 11 years in London, Lasith and Kathryn want a change of scene. They envisage a better work to life balance and want to raise their daughter in a more family friendly neighborhood. Cape Town quickly became the obvious choice. Kathryn had longed to return to her home town and Lasith has always enjoyed holidays there. Cape Town is a destination city known for its beaches, mountains, warm weather and scenic wine country. They've asked realtor John Weston of Rawson Real Estate to come up with some properties in the Plumstead area of Cape Town. This neighborhood has good access to the rest of the city and boasts a suburban atmosphere ideally suited to raise a family and generate a good return on investment.",https://www.hgtv.com/shows/house-hunters-international/episodes/homes-of-suburban-cape-town
193,9,"Season 16, Episode 2",Hunting with a Pro in Posh London,"Olivia Campbell is a full-time property investor in the London area and has invested in dozens of properties. But now that she's hunting for a property she intends to keep for herself and not let to tenants, she's willing to pull out all the stops, even if that means pushing the budget a little bit. The Kensington neighborhood of London has some of the most valued real estate in all of Europe, but will a great location and can do attitude make her lose sight of something with more earning potential in a less posh neighborhood? With the help of her friend Kevin and professional realtor Stephanie Jost it's time to find out.",https://www.hgtv.com/shows/house-hunters-international/episodes/hunting-with-a-pro-in-posh-london
194,10,"Season 16, Episode 3",The Fast Paced Apartment Market of Abu Dhabi,"Shelly accepted a teaching contract in Abu Dhabi which is a city in the United Arab Emirates. Now she's off to a place much different than her home town of Ottawa, Canada. Luckily she's going to have a few people helping her find an apartment once she arrives: her friend Stephanie has been teaching in Abu Dhabi already and her realtor Catherine Igoe is a sharp whip who knows the fast paced market of Abu Dhabi like the back of her hand. Catherine knows that most westerners find the market scene (and traffic!) there perplexing. She warns that if buyers don't act fast apartments can literally be on the market one day and gone the next. Can Shelly reduce her life to three suitcases, move to a land much different than her own and find an apartment all before the school year begins?",https://www.hgtv.com/shows/house-hunters-international/episodes/the-fast-paced-apartment-market-of-abu-dhabi
195,11,"Season 16, Episode 4",Apartment Hunting in Central Rome,Nicole is looking for an exciting change after living and working in New York for most of her life. She's always been drawn to the Italian art of living and decided to accept a teaching contract in Rome. But the language barrier has Nicole seeking the professional help of all around relocation and real estate gurus Sabrina Cosi and Katia Bosco. Sabrina and Katia are helping Nicole get acquainted with the social and cultural adjustments she'll need to make after moving. They can also help her find the perfect apartment right in the middle of it all. Nicole wants to be as centrally located as possible and the team of Sabrina and Katia have promised to deliver.,https://www.hgtv.com/shows/house-hunters-international/episodes/apartment-hunting-in-central-rome
196,12,"Season 16, Episode 5",Greek Vacation Homes Along the Mediterranean Coast,"Anne-Marie and her man Andonis are urbanites looking for a vacation escape that can easily remove them from the hot, congested summers of Athens, Greece. They love the buzz of the city, but in the middle of summer the city's heat and traffic can be relentless. Their favorite place to weekend is the Peloponnese Peninsula along the Mediterranean Sea. With the region's few city centers, quaint villages, and beautiful beaches what other reasons could this hip couple need to buy the perfect vacation property here as well? But finding the right real estate agent who knows their way around the peninsula is key, so enter professional realtor Stefani O'Connor. She's got the task of finding these weary city dwellers a private little Mediterranean paradise.",https://www.hgtv.com/shows/house-hunters-international/episodes/greek-vacation-homes-along-the-mediterranean-coast
197,13,"Season 16, Episode 6",Going Green in the Suburbs of Melbourne Australia,"Aussie raised Alec and his wife Rachel agree that Melbourne is the best, and healthiest, place to move their growing family. But Rachel has a lot at stake with the move: her LA friends of many years are like family to her and she has a successful photography business that will have to be relocated to Australia. Alec's also interested in going green by ditching one of the family's two cars and he's committed to collecting rain water to help conserve natural resources. This family of five also needs lots of space to accommodate everyone and their next home needs to have enough room for Rachel's photography studio. That's a tall order and professional realtor Billy Shroder says the housing market in the popular neighborhood of Hampton is very competitive. High demand and low supply of homes means buyers can lose the sale. But hopefully not if Billy is at the helm of the house hunt.",https://www.hgtv.com/shows/house-hunters-international/episodes/going-green-in-the-suburbs-of-melbourne-australia
198,14,"Season 16, Episode 7",Live Off the Grid on the Great Barrier Island of New Zealand,"Archie and Erica have sold a citrus nursery and are moving their three young boys to the Great Barrier Island off the eastern coast of New Zealand. But far from just moving, they are conducting an experiment in being as environmentally friendly as they possibly can. On the Great Barrier, home owners reduce their ecological foot print by living off the grid and need to do everything themselves from generating their own power to waste disposal. In short, this family gives new meaning to going green. But they can't find a home by themselves. They need an island expert that not only has some properties to show them, but who also knows the ins and outs of adjusting to island living. It's green to the extreme when House Hunters discovers the Great Barrier Island.",https://www.hgtv.com/shows/house-hunters-international/episodes/live-off-the-grid-on-the-great-barrier-island-of-new-zealand
199,15,"Season 16, Episode 8",California Based Family of Four Moves to Cairo.,"Mamdouh and Laura Raafat now live with their two children, Tarek and Hannah, in a nice, quiet neighborhood in California. They have a great house, nice careers and an easy-going lifestyle most people would envy. So why are they looking to leave all that and move to the to the busy, bustling city of Cairo, Egypt? Well, it depends on who you ask. Mamdouh wants his children to experience part of their cultural heritage while they are still young and Laura is up for the adventure of living in the ancient city by the Nile, the Triumphant City of Cairo, Egypt. But just because they've got the ambition to move doesn't mean they know where to live. So to help them navigate the real estate scene in this hectic city they've hired realtor Soaad Abd Elsalam. The Raafats have asked her to find them a family friendly condo that's near a good school. Let the house hunting begin.",https://www.hgtv.com/shows/house-hunters-international/episodes/california-based-family-of-four-moves-to-cairo
200,16,"Season 16, Episode 9",Country Home Versus City Home Along the Gold Coast of Australia,"Ellena and Matt have taken their children out of school, sold their family furniture business and are gearing up for a house hunt around Brisbane, Australia. Ellena was born and raised there and her folks are anxious to see the kids grow up. Matt is also looking forward to the warmer winters. However, Matt and Ellena haven't quite ironed out their differences on where the best location to live should be. Ellena is leaning towards buying a house in Brisbane proper -- where her folks live. But Matt wants to live out in the country more where he and the kids will have more green space to romp around. Will Ellena see Matt's argument for living further outside town or will Matt give in to living in the city? Even their professional realtor Robert Lindsay can't answer that question right now, but he'll do his best to mediate the debate. He's got plenty of properties to show Matt and Ellena in and outside Brisbane. And after Robert lays the cards on the table, it can only come down to one.",https://www.hgtv.com/shows/house-hunters-international/episodes/country-home-versus-city-home-along-the-gold-coast-of-australia
201,17,"Season 16, Episode 10",Hunting for Apartments in the Paris of the South,"Marisa and Mark decided it was time to move back to the city where Marisa grew up: Buenos Aires, Argentina. Buenos Aires is known as the Paris of the South and besides Marisa wishing to return there, the decision to move was motivated by the business opportunities for tourism professionals. Both Mark and Marisa specialize in this industry and they're eyeing Buenos Aires a great place to set up an office. And now that the move is becoming a reality, there are a few other realities they have to contend with. In Buenos Aires, home buyers need to pay cash only for property. That means having a professional realtor to safely broker a deal is more important than ever. The couple has put their faith in realtor Pablo Goldemberg to offer up some great apartments around town and to professionally broker a cash deal. Happy hunting!",https://www.hgtv.com/shows/house-hunters-international/episodes/hunting-for-apartments-in-the-paris-of-the-south
202,18,"Season 16, Episode 11",Providence Couple Hunts for Their First Apartment in Bangkok Thailand,"Linda dropped a bomb shell on her boyfriend Mitch when she told him about a job offer she landed in Bangkok, Thailand. Mitch is dedicated to the relationship and managed to pull some strings at work to be able to join her on this exciting adventure of a life time. Now the two are headed to Thailand to hunt for apartments together. Since they've never actually shopped for a place together they are quickly realizing their differences in wants and style. Linda is less concerned with minute details and more focused on living close to her new job. Mitch is an experienced property owner and is more focused on style and layout. To help mediate the debate they've hired professional realtor Joshua ""Cobby"" Leathers. He represents both single family homes for rent and modern high-rise apartments. Cobby will do his part, but at the end of the day, Mitch and Linda will need to hash out their differences before settling on the best place to live. All when House Hunters travels to Bangkok, Thailand.",https://www.hgtv.com/shows/house-hunters-international/episodes/providence-couple-hunts-for-their-first-apartment-in-bangkok-thailand
203,19,"Season 16, Episode 11",Providence Couple Hunts for Their First Apartment in Bangkok Thailand,"Linda dropped a bomb shell on her boyfriend Mitch when she told him about a job offer she landed in Bangkok, Thailand. Mitch is dedicated to the relationship and managed to pull some strings at work to be able to join her on this exciting adventure of a life time. Now the two are headed to Thailand to hunt for apartments together. Since they've never actually shopped for a place together they are quickly realizing their differences in wants and style. Linda is less concerned with minute details and more focused on living close to her new job. Mitch is an experienced property owner and is more focused on style and layout. To help mediate the debate they've hired professional realtor Joshua ""Cobby"" Leathers. He represents both single family homes for rent and modern high-rise apartments. Cobby will do his part, but at the end of the day, Mitch and Linda will need to hash out their differences before settling on the best place to live. All when House Hunters travels to Bangkok, Thailand.",https://www.hgtv.com/shows/house-hunters-international/episodes/providence-couple-hunts-for-their-first-apartment-in-bangkok-thailand
204,20,"Season 16, Episode 12",Traditional English Cottages in Oxfordshire England,"Miles was born with a race car in his hand and has dreamed of designing them all his life. Jump to present day and he finally received the call he's been waiting for: a job offer near Oxford! But uprooting his family and selling the house in Salt Lake City, Utah is no small task. Kristy, his talented wife, is up for the adventure of a lifetime and looks forward to living in England. But now that her husband's dream has come true, she's also dreaming of the true English experience. As they pack up their lives and head over seas Kristy hopes their realtor Jacqui Torrance can find them the perfect English cottage in the countryside of Oxfordshire. With Jacqui at the helm of the house hunt, it won't be long before Miles and Kristy feel they're living the real Jane Austin experience.",https://www.hgtv.com/shows/house-hunters-international/episodes/traditional-english-cottages-in-oxfordshire-england
205,21,"Season 16, Episode 13",Country Homes Outside Prague Czech Republic,"David and Jana Broderick consider themselves city people. But after having their daughter Sophie they felt moving to the countryside outside Prague would be healthier and more convenient. Deciding on the right type of house may present a challenge as David believes that no house can have too much space He thinks finding a fixer upper is fine. Jana on the other hand grew up in a small apartment and doesn't want a place to be too big or need too much work. She's leery of buying a money pit. And now that the hunt for a country home is getting underway they've hired a good mediator: professional realtor John Breaux. John will show them homes with varying degrees of perfection: some closer to town, some that need work, and some more expensive than others. But at the end of the day, David and Jana will need to settle their differences and chose the right home for the whole family. Watch as David and Jana head to the hills outside historic Prague, Czech Republic.",https://www.hgtv.com/shows/house-hunters-international/episodes/country-homes-outside-prague-czech-republic
206,22,"Season 17, Episode 1",Adopted Homeland Hunt in Amsterdam,"Vladimir and Milica moved from Serbia to The Netherlands two years ago for his job as an IT consultant. While they love their adopted country, Milica is dying to move out of their sleepy village of Maarssen and into in freewheeling Amsterdam. With a budget of $380,000, they want to buy a 2 bedroom, 1 bath apartment in the popular neighborhood of Pijp. One of the biggest challenges their real estate agent, Jaap Russchen, faces is to find an apartment that will have the city views for Milica and a peaceful quiet space for Vladimir.",https://www.hgtv.com/shows/house-hunters-international/episodes/vladimir-and-milica-are-serbians-who-want-to-buy-an-apartment-in-their-adopted-home-of-amsterdam
207,23,"Season 17, Episode 2",Vacation Home Escape in Abruzzo,"Alex is an American expat, who is enjoying life in the Newcastle area of England with her husband Will. Having been born and raised in the U.K., Will is used to the harsh northeast English weather. But, not Alex. So, she convinced him to buy a vacation home in the Abruzzo region of Italy, where the weather is much warmer. With a budget of $211,000, they want to find a home with views of the sea and lots of land. The challenge? As the owner of a construction company, Will is well aware of the pitfalls of home renovation and would rather buy a place that doesn't need a lot of work. Alex, on the other hand, is only concerned with how the house makes her feel. Their real estate agent, Stefania Russo takes them to see three very different homes that range from a complete fixer to a remodeled farmhouse. In the battle between love and money, someone will have to give in. But, who?",https://www.hgtv.com/shows/house-hunters-international/episodes/alex-and-her-husband-will-want-to-escape-the-dreary-weather-in-england-by-buying-a-vacation-home-in-the-abruzzo-region-of-italy
208,24,"Season 17, Episode 3","A Family from Ireland looks for a Vacation Home in Calabria, Italy","Fran and Fiorina Mahon are from Ireland and live in Naas, County Kildare, which is about 18 miles from Dublin. The couple enjoys spending time with their three children, but with their two sons off in college it's a challenge to get everyone together. To solve the problem they've decided to get a vacation home where the entire family can spend quality time together. Because of Fiornia's Italian heritage they are focused on southern Italy. The couple decided on Calabria, Italy because it has great weather and some of the country's lowest priced coastal real estate. The only catch is they have never been to the area, so Fran, Fiorina and their daughter Beverly will spend four days in Calabria looking for a home and getting familiar with the region. With a tight budget and limited amount of time will they be able to find the ideal vacation home before heading back to Ireland?",https://www.hgtv.com/shows/house-hunters-international/episodes/a-family-from-ireland-looks-for-a-vacation-home-in-calabria-italy
209,0,"Season 17, Episode 4",Couple Searches for Ecuador Getaway,"Texan businesswoman Barbara has been working to convince her husband Dean, an oil worker, to buy a vacation home in the remote village of Cotacachi, Ecuador. Even though he's only seen the place in photos and home videos, Dean is willing to take the risk, but he doesn't want to give up the yard space he's used to back home. With a budget of $160,000 US, and the help of Barbara's friend and real estate agent Caroline, can this couple find the kind of tropical retreat they'll want to visit for years to come?",https://www.hgtv.com/shows/house-hunters-international/episodes/couple-searches-for-ecuador-getaway
210,1,"Season 17, Episode 5",British Musician Wants Getaway in Bulgarian Countryside,"British musician Sam loves his life in Leeds, UK, but he longs for a rural getaway that reminds him of his upbringing in the English countryside. With his girlfriend Lauren along for advice and support, he's heading to the Bulgarian countryside, where real estate is a bargain. But can $28,000 really buy the kind of vacation home Sam will want to return to for years to come?",https://www.hgtv.com/shows/house-hunters-international/episodes/british-musician-wants-getaway-in-bulgarian-countryside
211,2,"Season 17, Episode 6",A Canadian Couple Searches for a Vacation Home in the Dominican Republic,"Canadians Craig and Jeanelle are looking for a vacation home in the Dominican Republic. They're hoping to find a warm place where they can escape the cold Canadian weather and enjoy great beaches and nightlife. But they also want a home where their baby son will feel comfortable. With a budget of $300,000, Jeanelle and Craig are on the hunt for the perfect getaway place. But since they both have different wishes, it's going to be a challenge to find what they want. After checking out three great places, can they finally agree on one?",https://www.hgtv.com/shows/house-hunters-international/episodes/a-canadian-couple-searches-for-a-vacation-home-in-the-dominican-republic2
212,3,"Season 17, Episode 7",Serial Renovators Look for an Affordable Home in France,"Phil and Amanda Grapes moved from London to the south of France seven years ago, and since that time they've renovated five homes, and lived in all of them. That's a tough lifestyle for anyone, and especially tough for the parents of young children, like Phil and Amanda. With no formal training in home renovation, the couple has had to learn on the job, but they've enjoyed doing it, and have found it to be a profitable career. However, Amanda is tired of living in a construction zone and she's ready to buy a home that is ready-to-move into, and will be permanent for their young family of four. They want to stay in France's Languedoc-Roussillon region, and they want to find a grand home with plenty of local, historic character. Their only other request is for a large garden where the kids can play. Their budget is $512,000. Find out if they get what they want when House Hunters goes to France's Languedoc-Roussillon region.",https://www.hgtv.com/shows/house-hunters-international/episodes/londoners-phil-and-amanda-hope-to-find-an-affordable-but-grand-home-in-frances-languedoc-roussillon-region-that-does-not-require-major-renovations
213,4,"Season 17, Episode 8",Steve Escapes by Buying a Vacation Home in Belize,"Steve is an engineer who loves living in Phoenix, Arizona. But, his job is anything but 9 to 5. He decided he wants to buy a vacation home in a remote area of Belize, where he can unplug from his job and completely escape. He's taking along his good friend and travel buddy, Kelly, on this journey. He has a budget of $200,000 - $300,000 and is hoping to find a home in a remote location, close to the water and that has Belizean character. Having never bought a place overseas, he'll really have to rely on realtor Elizabeth Dull, to help him find the right place.",https://www.hgtv.com/shows/house-hunters-international/episodes/steve-wants-to-escape-his-stressful-job-in-phoenix-arizona-by-buying-a-vacation-home-in-a-remote-area-of-belize
214,5,"Season 17, Episode 9",Brits Look for Home in France's Cognac Country,"While they love the Grand English estate they call home, Sandra and Roger are tired of Britain's dreary weather. They're looking to make a fresh start in France's Charente Region, famous for its sunny climate and cognac production. But with a budget of $432,000, can they find a place with authentic French charm, that won't require extensive renovations?",https://www.hgtv.com/shows/house-hunters-international/episodes/brits-look-for-home-in-frances-cognac-country
215,6,"Season 17, Episode 10",American Surfers Search for Home in Nicaragua,"American surfers Seth, 32, and Lindsey, 28, have decided to ''retire early'' in a beautiful spot known as the Nicaraguan Riviera. After living in a caretakers' cottage for nearly a year, they've saved enough money to buy a place of their own. But can their $200,000 budget get them a place with a view of the surf that brought them here in the first place?",https://www.hgtv.com/shows/house-hunters-international/episodes/american-surfers-search-for-home-in-nicaragua
